section,metric,value
scenario,requests,103
scenario,attempts,1300
scenario,stereo_pairs,164
scenario,avg_angle,20.553055
scenario,avg_area,460.322885
scenario,avg_price,1002.286923
scenario,avg_sun_elevation,55.116855
scenario,avg_cloud_cover,1.565588
scenario,avg_priority,2.696923
scenario_raw,requests,103
scenario_raw,attempts,1430
scenario_raw,avg_angle,20.235514
scenario_raw,avg_area,461.855929
scenario_raw,avg_price,990.078322
scenario_raw,avg_sun_elevation,55.789167
scenario_raw,avg_cloud_cover,1.571265
scenario_raw,avg_priority,2.695804
solution,acquisitions,131
solution,unique_requests_served,97
solution,total_score,71.6517482517482733
solution,ofv,-71.6517482517484439
solution,total_profit,126766.000000
solution,total_area,69350.597208
solution,avg_cloud_cover,1.363951
solution,cloud_good_lt10,131
solution,cloud_bad_gt30,0
solution,avg_angle,21.603910
solution,angle_good_le10,11
solution,angle_bad_ge30,8
solution,avg_priority,2.725191
solution,priority_1,26
solution,priority_2,31
solution,priority_3,27
solution,priority_4,47
solution,avg_sun_elevation,56.402031
rko,best_mh,BRKGA
rko,time_to_best,89.584
rko,solver_time,150.012
rko,total_time,150.015
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,14
rko,stereo_acq_selected,27
rko,strip_acq_selected,41
