section,metric,value
scenario,requests,213
scenario,attempts,3513
scenario,stereo_pairs,751
scenario,avg_angle,20.750322
scenario,avg_area,504.286679
scenario,avg_price,994.335041
scenario,avg_sun_elevation,55.840581
scenario,avg_cloud_cover,1.809461
scenario,avg_priority,2.426132
scenario_raw,requests,213
scenario_raw,attempts,4618
scenario_raw,avg_angle,20.141903
scenario_raw,avg_area,507.919863
scenario_raw,avg_price,1006.499350
scenario_raw,avg_sun_elevation,56.216111
scenario_raw,avg_cloud_cover,1.751536
scenario_raw,avg_priority,2.399524
solution,acquisitions,266
solution,unique_requests_served,200
solution,total_score,153.7609354699002893
solution,ofv,-153.7609354699011703
solution,total_profit,264950.000000
solution,total_area,151373.082217
solution,avg_cloud_cover,1.694008
solution,cloud_good_lt10,264
solution,cloud_bad_gt30,0
solution,avg_angle,22.083775
solution,angle_good_le10,19
solution,angle_bad_ge30,16
solution,avg_priority,2.390977
solution,priority_1,80
solution,priority_2,58
solution,priority_3,72
solution,priority_4,56
solution,avg_sun_elevation,55.473943
rko,best_mh,BRKGA
rko,time_to_best,572.139
rko,solver_time,600.689
rko,total_time,600.696
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,18
rko,stereo_acq_selected,37
rko,strip_acq_selected,95
