section,metric,value
scenario,requests,351
scenario,attempts,5516
scenario,stereo_pairs,600
scenario,avg_angle,20.837170
scenario,avg_area,474.963787
scenario,avg_price,988.296773
scenario,avg_sun_elevation,56.195762
scenario,avg_cloud_cover,7.604217
scenario,avg_priority,2.473532
scenario_raw,requests,351
scenario_raw,attempts,6212
scenario_raw,avg_angle,20.607803
scenario_raw,avg_area,482.317561
scenario_raw,avg_price,994.473599
scenario_raw,avg_sun_elevation,56.476896
scenario_raw,avg_cloud_cover,7.461854
scenario_raw,avg_priority,2.523503
solution,acquisitions,442
solution,unique_requests_served,339
solution,total_score,243.6653251770762836
solution,ofv,-243.6653251770773352
solution,total_profit,433012.000000
solution,total_area,241436.921396
solution,avg_cloud_cover,7.777637
solution,cloud_good_lt10,288
solution,cloud_bad_gt30,0
solution,avg_angle,21.962994
solution,angle_good_le10,36
solution,angle_bad_ge30,22
solution,avg_priority,2.509050
solution,priority_1,109
solution,priority_2,108
solution,priority_3,116
solution,priority_4,109
solution,avg_sun_elevation,56.394694
rko,best_mh,BRKGA
rko,time_to_best,566.647
rko,solver_time,606.372
rko,total_time,606.386
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,29
rko,stereo_acq_selected,58
rko,strip_acq_selected,148
