section,metric,value
scenario,requests,206
scenario,attempts,2629
scenario,stereo_pairs,334
scenario,avg_angle,20.716612
scenario,avg_area,500.907060
scenario,avg_price,1005.261316
scenario,avg_sun_elevation,54.849897
scenario,avg_cloud_cover,1.773710
scenario,avg_priority,2.426017
scenario_raw,requests,206
scenario_raw,attempts,3009
scenario_raw,avg_angle,20.313773
scenario_raw,avg_area,504.762580
scenario_raw,avg_price,1006.956796
scenario_raw,avg_sun_elevation,55.144468
scenario_raw,avg_cloud_cover,1.737630
scenario_raw,avg_priority,2.416750
solution,acquisitions,259
solution,unique_requests_served,193
solution,total_score,145.5014955134597301
solution,ofv,-145.5014955134603554
solution,total_profit,257458.000000
solution,total_area,148681.056266
solution,avg_cloud_cover,1.932436
solution,cloud_good_lt10,258
solution,cloud_bad_gt30,0
solution,avg_angle,22.013749
solution,angle_good_le10,23
solution,angle_bad_ge30,14
solution,avg_priority,2.393822
solution,priority_1,78
solution,priority_2,56
solution,priority_3,70
solution,priority_4,55
solution,avg_sun_elevation,54.520341
rko,best_mh,BRKGA
rko,time_to_best,196.833
rko,solver_time,300.643
rko,total_time,300.649
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,18
rko,stereo_acq_selected,37
rko,strip_acq_selected,95
