section,metric,value
scenario,requests,284
scenario,attempts,2755
scenario,stereo_pairs,175
scenario,avg_angle,20.596781
scenario,avg_area,477.032856
scenario,avg_price,981.212704
scenario,avg_sun_elevation,57.511053
scenario,avg_cloud_cover,7.748105
scenario,avg_priority,2.496552
scenario_raw,requests,284
scenario_raw,attempts,2858
scenario_raw,avg_angle,20.340888
scenario_raw,avg_area,479.456705
scenario_raw,avg_price,983.273618
scenario_raw,avg_sun_elevation,57.558325
scenario_raw,avg_cloud_cover,7.803076
scenario_raw,avg_priority,2.511547
solution,acquisitions,316
solution,unique_requests_served,246
solution,total_score,179.7186843946819295
solution,ofv,-179.7186843946822137
solution,total_profit,306511.000000
solution,total_area,175169.583654
solution,avg_cloud_cover,8.309393
solution,cloud_good_lt10,193
solution,cloud_bad_gt30,0
solution,avg_angle,21.085929
solution,angle_good_le10,25
solution,angle_bad_ge30,15
solution,avg_priority,2.531646
solution,priority_1,74
solution,priority_2,80
solution,priority_3,82
solution,priority_4,80
solution,avg_sun_elevation,57.097812
rko,best_mh,ILS
rko,time_to_best,300.050
rko,solver_time,300.971
rko,total_time,300.978
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,20
rko,stereo_acq_selected,40
rko,strip_acq_selected,106
