section,metric,value
scenario,requests,97
scenario,attempts,930
scenario,stereo_pairs,75
scenario,avg_angle,20.797518
scenario,avg_area,510.963435
scenario,avg_price,980.137634
scenario,avg_sun_elevation,54.142972
scenario,avg_cloud_cover,7.475093
scenario,avg_priority,2.463441
scenario_raw,requests,97
scenario_raw,attempts,975
scenario_raw,avg_angle,20.492739
scenario_raw,avg_area,511.683733
scenario_raw,avg_price,984.995897
scenario_raw,avg_sun_elevation,54.278338
scenario_raw,avg_cloud_cover,7.408161
scenario_raw,avg_priority,2.452308
solution,acquisitions,119
solution,unique_requests_served,89
solution,total_score,67.5733333333333803
solution,ofv,-67.5733333333334514
solution,total_profit,114606.000000
solution,total_area,69540.662111
solution,avg_cloud_cover,7.240608
solution,cloud_good_lt10,85
solution,cloud_bad_gt30,0
solution,avg_angle,20.983438
solution,angle_good_le10,11
solution,angle_bad_ge30,4
solution,avg_priority,2.462185
solution,priority_1,31
solution,priority_2,27
solution,priority_3,36
solution,priority_4,25
solution,avg_sun_elevation,52.384139
rko,best_mh,BRKGA
rko,time_to_best,16.631
rko,solver_time,60.018
rko,total_time,60.020
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,8
rko,stereo_acq_selected,16
rko,strip_acq_selected,44
